query,tag,parsiai,predicted
جاده ساوه,['جاده ساوه'],,
امروز رفتم چهارراه ولی‌عصر. بعد از انجام کارم سوار ماشین شدم و رفتم خ انقلاب,"[’چهارراه ولی‌عصر’, ‘خیابان انقلاب’]",,
خیابون ازادی امروز چه ترافیکی داشت,['خیابان آزادی'],,
آچار فرانسه رو بردم و به آدرسی که گفته بود تحویل دادم: فرانسه، پاریس، خ شانزه‌لیزه، پ ۱۲۳ واحد ۳,['فرانسه، پاریس، خیابان شانزه‌لیزه، پلاک ۱۲۳ ، واحد ۳'],,
کوچه قاسمی جای پارک نبود، روبروی مدرسه خیام پارک کردم.,,,
پنج شنبه جاده چالوس یکطرفه شده بود.,,,
دیروز در ترافیک بزرگراه همت گیر کردم و نتوانستم به موقع به افتتاحیه نمایشگاه نقاشی واقع در خیابان شیخ‌بهایی برسم.,,,
میدون آرژانتین امروز خیلی شلوغ بود مجبور شدم از خ بهشتی برم.,,,
آدرس رو لطفا یادداشت کن: بعد از میدان آزادی ، روبروی سه راهی فرودگاه ، خ بیمه ، بلوک دوم ، پ ۱۲,,,
فردا توی دانشگاه صنعتی شریف مصاحبه دارم امیدوارم میدون آزادی شلوغ نباشه.,,,
فکر کنم پلاک رو به جای پ ۲۳ نوشته بود پ ۳۲,,,
آخرین باری که به کرمانشاه سفر کردم نان برنجی را از فروشگاه قاسمی خریدم.,,,
من تا به حال به شهر های نیشابور و اهواز سفر نکرده ام.,,,
نبش کوچه میرباقری میتوانی داروخانه قاسمی رو ببینی.,,,
برای پسفردا در آتلیه گسترش در خیابون میرزایی نوبت رزرو کردم.,,,
